country_whitelist,country_blacklist,parents,title,alias 
CA,,,Storefront Clinics,dentalhygeiniststorefront
,,health,Dental Hygienists,dentalhygienists
DE,,,Dental Hygienists,dentalhygienists
NO,,,Dental Hygienists,dentalhygienists
DK,,,Dental Hygienists,dentalhygienists
PT,,,Dental Hygienists,dentalhygienists
CA,,,Dental Hygienists,dentalhygienists
NL,,,Dental Hygienists,dentalhygienists
US,,,Dental Hygienists,dentalhygienists
,,dentalhygienists,Mobile Clinics,dentalhygienistsmobile
CA,,,Mobile Clinics,dentalhygienistsmobile
,,health,Dentists,dentists
,,publicservicesgovt,Departments of Motor Vehicles,departmentsofmotorvehicles
,BE,,Departments of Motor Vehicles,departmentsofmotorvehicles
,FR,,Departments of Motor Vehicles,departmentsofmotorvehicles
,,fashion,Department Stores,deptstores
,,shopping,Department Stores,deptstores
,,physicians,Dermatologists,dermatology
,,food,Desserts,desserts
,,diagnosticservices,Diagnostic Imaging,diagnosticimaging
AR,,,Diagnostic Imaging,diagnosticimaging
AU,,,Diagnostic Imaging,diagnosticimaging
CA,,,Diagnostic Imaging,diagnosticimaging
US,,,Diagnostic Imaging,diagnosticimaging
CL,,,Diagnostic Imaging,diagnosticimaging
ES,,,Diagnostic Imaging,diagnosticimaging
FR,,,Diagnostic Imaging,diagnosticimaging
IE,,,Diagnostic Imaging,diagnosticimaging
PT,,,Diagnostic Imaging,diagnosticimaging
BR,,,Diagnostic Imaging,diagnosticimaging
GB,,,Diagnostic Imaging,diagnosticimaging
MX,,,Diagnostic Imaging,diagnosticimaging
,,health,Diagnostic Services,diagnosticservices
,,health,Dialysis Clinics,dialysisclinics
AR,,,Dialysis Clinics,dialysisclinics
US,,,Dialysis Clinics,dialysisclinics
ES,,,Dialysis Clinics,dialysisclinics
CL,,,Dialysis Clinics,dialysisclinics
PT,,,Dialysis Clinics,dialysisclinics
IT,,,Dialysis Clinics,dialysisclinics
TR,,,Dialysis Clinics,dialysisclinics
BR,,,Dialysis Clinics,dialysisclinics
MX,,,Dialysis Clinics,dialysisclinics
,,shopping,Diamond Buyers,diamondbuyers
,,health,Dietitians,dietitians
,,professional,Digitizing Services,digitizingservices
NO,,,Digitizing Services,digitizingservices
BR,,,Digitizing Services,digitizingservices
DK,,,Digitizing Services,digitizingservices
US,,,Digitizing Services,digitizingservices
,,chinese,Dim Sum,dimsum
,PT,,Dim Sum,dimsum
,BR,,Dim Sum,dimsum
,TR,,Dim Sum,dimsum
,,restaurants,Diners,diners
,FI,,Diners,diners
,CZ,,Diners,diners
,SE,,Diners,diners
,AU,,Diners,diners
,,restaurants,Dinner Theater,dinnertheater
,BE,,Dinner Theater,dinnertheater
,JP,,Dinner Theater,dinnertheater
,NL,,Dinner Theater,dinnertheater
,FR,,Dinner Theater,dinnertheater
,IT,,Dinner Theater,dinnertheater
,,lawyers,Disability Law,disabilitylaw
,,active,Disc Golf,discgolf
,DK,,Disc Golf,discgolf
,SG,,Disc Golf,discgolf
,AU,,Disc Golf,discgolf
,,shopping,Discount Store,discountstore
,,food,Distilleries,distilleries
,,bars,Dive Bars,divebars
,AU,,Dive Bars,divebars
,CZ,,Dive Bars,divebars
,BE,,Dive Bars,divebars
,NL,,Dive Bars,divebars
,FR,,Dive Bars,divebars
,IT,,Dive Bars,divebars
,,sportgoods,Dive Shops,diveshops
DE,,,Dive Shops,diveshops
AR,,,Dive Shops,diveshops
CH,,,Dive Shops,diveshops
AU,,,Dive Shops,diveshops
US,,,Dive Shops,diveshops
JP,,,Dive Shops,diveshops
CL,,,Dive Shops,diveshops
ES,,,Dive Shops,diveshops
IT,,,Dive Shops,diveshops
BR,,,Dive Shops,diveshops
AT,,,Dive Shops,diveshops
NZ,,,Dive Shops,diveshops
MX,,,Dive Shops,diveshops
,,active,Diving,diving
,,lawyers,Divorce & Family Law,divorce
,,autorepair,DIY Auto Shop,diyautoshop
DE,,,DIY Auto Shop,diyautoshop
CH,,,DIY Auto Shop,diyautoshop
AU,,,DIY Auto Shop,diyautoshop
US,,,DIY Auto Shop,diyautoshop
AT,,,DIY Auto Shop,diyautoshop
PT,,,DIY Auto Shop,diyautoshop
,,food,Do-It-Yourself Food,diyfood
,DE,,Do-It-Yourself Food,diyfood
,CH,,Do-It-Yourself Food,diyfood
,CL,,Do-It-Yourself Food,diyfood
,ES,,Do-It-Yourself Food,diyfood
,FR,,Do-It-Yourself Food,diyfood
,IT,,Do-It-Yourself Food,diyfood
,FI,,Do-It-Yourself Food,diyfood
,SE,,Do-It-Yourself Food,diyfood
,AT,,Do-It-Yourself Food,diyfood
,CZ,,Do-It-Yourself Food,diyfood
,NZ,,Do-It-Yourself Food,diyfood
,MX,,Do-It-Yourself Food,diyfood
,,eventservices,DJs,djs
,,parks,Dog Parks,dog_parks
,,petservices,Dog Walkers,dogwalkers
,,transport,Dolmus Station,dolmusstation
TR,,,Dolmus Station,dolmusstation
,,caribbean,Dominican,dominican
US,,,Dominican,dominican
,,food,Donairs,donairs
PL,,,Donairs,donairs
DK,,,Donairs,donairs
CZ,,,Donairs,donairs
CA,,,Donairs,donairs
BE,,,Donairs,donairs
FR,,,Donairs,donairs
TR,,,Donairs,donairs
,,localservices,Donation Center,donationcenter
DE,,,Donation Center,donationcenter
CH,,,Donation Center,donationcenter
DK,,,Donation Center,donationcenter
US,,,Donation Center,donationcenter
BE,,,Donation Center,donationcenter
ES,,,Donation Center,donationcenter
NL,,,Donation Center,donationcenter
NO,,,Donation Center,donationcenter
BR,,,Donation Center,donationcenter
AT,,,Donation Center,donationcenter
,,japanese,Donburi,donburi
JP,,,Donburi,donburi
TW,,,Donburi,donburi
HK,,,Donburi,donburi
,,food,Donuts,donuts
,ES,,Donuts,donuts
,,homeservices,Door Sales/Installation,doorsales
,DK,,Door Sales/Installation,doorsales
,HK,,Door Sales/Installation,doorsales
,FI,,Door Sales/Installation,doorsales
,NO,,Door Sales/Installation,doorsales
,AR,,Door Sales/Installation,doorsales
,MY,,Door Sales/Installation,doorsales
,TW,,Door Sales/Installation,doorsales
,JP,,Door Sales/Installation,doorsales
,ES,,Door Sales/Installation,doorsales
,CL,,Door Sales/Installation,doorsales
,FR,,Door Sales/Installation,doorsales
,IE,,Door Sales/Installation,doorsales
,TR,,Door Sales/Installation,doorsales
,SE,,Door Sales/Installation,doorsales
,PH,,Door Sales/Installation,doorsales
,MX,,Door Sales/Installation,doorsales
,,health,Doulas,doulas
CZ,,,Doulas,doulas
CA,,,Doulas,doulas
BE,,,Doulas,doulas
PT,,,Doulas,doulas
FR,,,Doulas,doulas
IT,,,Doulas,doulas
US,,,Doulas,doulas
,,specialtyschools,Drama Schools,dramaschools
,,gourmet,Dried Fruit,driedfruit
AR,,,Dried Fruit,driedfruit
PL,,,Dried Fruit,driedfruit
TW,,,Dried Fruit,driedfruit
JP,,,Dried Fruit,driedfruit
ES,,,Dried Fruit,driedfruit
CL,,,Dried Fruit,driedfruit
HK,,,Dried Fruit,driedfruit
TR,,,Dried Fruit,driedfruit
BR,,,Dried Fruit,driedfruit
SE,,,Dried Fruit,driedfruit
CZ,,,Dried Fruit,driedfruit
MX,,,Dried Fruit,driedfruit
,,movietheaters,Drive-In Theater,driveintheater
,AR,,Drive-In Theater,driveintheater
,PL,,Drive-In Theater,driveintheater
,CL,,Drive-In Theater,driveintheater
,FR,,Drive-In Theater,driveintheater
,MX,,Drive-In Theater,driveintheater
,,bars,Drive-Thru Bars,drivethrubars
US,,,Drive-Thru Bars,drivethrubars
,,specialtyschools,Driving Schools,driving_schools
,,shopping,Drones,drones
,,shopping,Drugstores,drugstores
,AR,,Drugstores,drugstores
,DK,,Drugstores,drugstores
,CL,,Drugstores,drugstores
,FR,,Drugstores,drugstores
,TR,,Drugstores,drugstores
,NO,,Drugstores,drugstores
,SE,,Drugstores,drugstores
,MX,,Drugstores,drugstores
,,laundryservices,Dry Cleaning,dryclean
,,homeservices,Drywall Installation & Repair,drywall
,JP,,Drywall Installation & Repair,drywall
,HK,,Drywall Installation & Repair,drywall
,,lawyers,DUI Law,duilawyers
DE,,,DUI Law,duilawyers
US,,,DUI Law,duilawyers
CA,,,DUI Law,duilawyers
,,specialtyschools,DUI Schools,duischools
US,,,DUI Schools,duischools
,,restaurants,Dumplings,dumplings
DE,,,Dumplings,dumplings
PL,,,Dumplings,dumplings
CH,,,Dumplings,dumplings
AU,,,Dumplings,dumplings
CA,,,Dumplings,dumplings
BE,,,Dumplings,dumplings
JP,,,Dumplings,dumplings
NL,,,Dumplings,dumplings
IE,,,Dumplings,dumplings
NZ,,,Dumplings,dumplings
AT,,,Dumplings,dumplings
SG,,,Dumplings,dumplings
GB,,,Dumplings,dumplings
,,junkremovalandhauling,Dumpster Rental,dumpsterrental
DE,,,Dumpster Rental,dumpsterrental
PL,,,Dumpster Rental,dumpsterrental
DK,,,Dumpster Rental,dumpsterrental
CH,,,Dumpster Rental,dumpsterrental
CA,,,Dumpster Rental,dumpsterrental
AU,,,Dumpster Rental,dumpsterrental
BE,,,Dumpster Rental,dumpsterrental
HK,,,Dumpster Rental,dumpsterrental
NO,,,Dumpster Rental,dumpsterrental
NZ,,,Dumpster Rental,dumpsterrental
SG,,,Dumpster Rental,dumpsterrental
MY,,,Dumpster Rental,dumpsterrental
US,,,Dumpster Rental,dumpsterrental
NL,,,Dumpster Rental,dumpsterrental
IE,,,Dumpster Rental,dumpsterrental
AT,,,Dumpster Rental,dumpsterrental
PH,,,Dumpster Rental,dumpsterrental
GB,,,Dumpster Rental,dumpsterrental
,,professional,Duplication Services,duplicationservices
US,,,Duplication Services,duplicationservices
,,shopping,Duty-Free Shops,dutyfreeshops
,,physicians,Ear Nose & Throat,earnosethroat
,,restaurants,Eastern European,eastern_european
NO,,,Eastern European,eastern_european
AU,,,Eastern European,eastern_european
DK,,,Eastern European,eastern_european
CZ,,,Eastern European,eastern_european
FR,,,Eastern European,eastern_european
,,german,Eastern German,easterngerman
DE,,,Eastern German,easterngerman
,,mexican,Eastern Mexican,easternmexican
MX,,,Eastern Mexican,easternmexican
,,arts,Eatertainment,eatertainment
DE,,,Eatertainment,eatertainment
BR,,,Eatertainment,eatertainment
CH,,,Eatertainment,eatertainment
AT,,,Eatertainment,eatertainment
US,,,Eatertainment,eatertainment
BE,,,Eatertainment,eatertainment
NL,,,Eatertainment,eatertainment
,,professional,Editorial Services,editorialservices
DE,,,Editorial Services,editorialservices
PL,,,Editorial Services,editorialservices
DK,,,Editorial Services,editorialservices
CH,,,Editorial Services,editorialservices
CA,,,Editorial Services,editorialservices
AU,,,Editorial Services,editorialservices
BE,,,Editorial Services,editorialservices
IT,,,Editorial Services,editorialservices
NO,,,Editorial Services,editorialservices
BR,,,Editorial Services,editorialservices
NZ,,,Editorial Services,editorialservices
SG,,,Editorial Services,editorialservices
AR,,,Editorial Services,editorialservices
MY,,,Editorial Services,editorialservices
US,,,Editorial Services,editorialservices
ES,,,Editorial Services,editorialservices
CL,,,Editorial Services,editorialservices
FR,,,Editorial Services,editorialservices
NL,,,Editorial Services,editorialservices
PT,,,Editorial Services,editorialservices
IE,,,Editorial Services,editorialservices
AT,,,Editorial Services,editorialservices
PH,,,Editorial Services,editorialservices
GB,,,Editorial Services,editorialservices
MX,,,Editorial Services,editorialservices
,,,Education,education
,,education,Educational Services,educationservices
,BR,,Educational Services,educationservices
,,mideastern,Egyptian,egyptian
CA,,,Egyptian,egyptian
US,,,Egyptian,egyptian
BE,,,Egyptian,egyptian
FR,,,Egyptian,egyptian
IT,,,Egyptian,egyptian
,,localservices,Elder Care Planning,eldercareplanning
,,lawyers,Elder Law,elderlaw
DE,,,Elder Law,elderlaw
PL,,,Elder Law,elderlaw
CH,,,Elder Law,elderlaw
US,,,Elder Law,elderlaw
PT,,,Elder Law,elderlaw
TR,,,Elder Law,elderlaw
BR,,,Elder Law,elderlaw
AT,,,Elder Law,elderlaw
,,homeservices,Electricians,electricians
,,utilities,Electricity Suppliers,electricitysuppliers
,,shopping,Electronics,electronics
,,localservices,Electronics Repair,electronicsrepair
,,education,Elementary Schools,elementaryschools
,,localservices,Elevator Services,elevatorservices
,AR,,Elevator Services,elevatorservices
,MY,,Elevator Services,elevatorservices
,JP,,Elevator Services,elevatorservices
,CL,,Elevator Services,elevatorservices
,FR,,Elevator Services,elevatorservices
,FI,,Elevator Services,elevatorservices
,CZ,,Elevator Services,elevatorservices
,PH,,Elevator Services,elevatorservices
,MX,,Elevator Services,elevatorservices
,,food,Parent Cafes,eltern_cafes
,,restaurants,Parent Cafes,eltern_cafes
CH,,,Parent Cafes,eltern_cafes
AT,,,Parent Cafes,eltern_cafes
DE,,,Parent Cafes,eltern_cafes
,,publicservicesgovt,Embassy,embassy
,TR,,Embassy,embassy
,,artsandcrafts,Embroidery & Crochet,embroideryandcrochet
,,physicians,Emergency Medicine,emergencymedicine
,,petservices,Emergency Pet Hospital,emergencypethospital
,,health,Emergency Rooms,emergencyrooms
,,italian,Emilian,emilian
IT,,,Emilian,emilian
,,food,Empanadas,empanadas
ES,,,Empanadas,empanadas
AR,,,Empanadas,empanadas
CL,,,Empanadas,empanadas
US,,,Empanadas,empanadas
,,professional,Employment Agencies,employmentagencies
,,lawyers,Employment Law,employmentlawyers
,,fitness,EMS Training,emstraining
DE,,,EMS Training,emstraining
SE,,,EMS Training,emstraining
CH,,,EMS Training,emstraining
AT,,,EMS Training,emstraining
ES,,,EMS Training,emstraining
,,physicians,Endocrinologists,endocrinologists
,TW,,Endocrinologists,endocrinologists
,PL,,Endocrinologists,endocrinologists
,AU,,Endocrinologists,endocrinologists
,CA,,Endocrinologists,endocrinologists
,JP,,Endocrinologists,endocrinologists
,IE,,Endocrinologists,endocrinologists
,HK,,Endocrinologists,endocrinologists
,FI,,Endocrinologists,endocrinologists
,SE,,Endocrinologists,endocrinologists
,NZ,,Endocrinologists,endocrinologists
,SG,,Endocrinologists,endocrinologists
,GB,,Endocrinologists,endocrinologists
,,dentists,Endodontists,endodontists
,CZ,,Endodontists,endodontists
,,localservices,Engraving,engraving
,,lawyers,Entertainment Law,entertainmentlaw
US,,,Entertainment Law,entertainmentlaw
,,localservices,Environmental Abatement,enviroabatement
,,localservices,Environmental Testing,environmentaltesting
DK,,,Environmental Testing,environmentaltesting
AU,,,Environmental Testing,environmentaltesting
CA,,,Environmental Testing,environmentaltesting
BE,,,Environmental Testing,environmentaltesting
US,,,Environmental Testing,environmentaltesting
NL,,,Environmental Testing,environmentaltesting
IE,,,Environmental Testing,environmentaltesting
FI,,,Environmental Testing,environmentaltesting
NO,,,Environmental Testing,environmentaltesting
NZ,,,Environmental Testing,environmentaltesting
SG,,,Environmental Testing,environmentaltesting
GB,,,Environmental Testing,environmentaltesting
,,restaurants,Eritrean,eritrean
DE,,,Eritrean,eritrean
CH,,,Eritrean,eritrean
AT,,,Eritrean,eritrean
US,,,Eritrean,eritrean
IT,,,Eritrean,eritrean
,,beautysvc,Erotic Massage,eroticmassage
,MY,,Erotic Massage,eroticmassage
,TW,,Erotic Massage,eroticmassage
,DK,,Erotic Massage,eroticmassage
,US,,Erotic Massage,eroticmassage
,JP,,Erotic Massage,eroticmassage
,CL,,Erotic Massage,eroticmassage
,HK,,Erotic Massage,eroticmassage
,TR,,Erotic Massage,eroticmassage
,FI,,Erotic Massage,eroticmassage
,NO,,Erotic Massage,eroticmassage
,SE,,Erotic Massage,eroticmassage
,PH,,Erotic Massage,eroticmassage
,,active,Escape Games,escapegames
,,realestate,Estate Liquidation,estateliquidation
,CZ,,Estate Liquidation,estateliquidation
,,realestatesvcs,Real Estate Photography,estatephotography
,JP,,Real Estate Photography,estatephotography
,IT,,Real Estate Photography,estatephotography
,,lawyers,Estate Planning Law,estateplanning
,NO,,Estate Planning Law,estateplanning
,SE,,Estate Planning Law,estateplanning
,,skincare,Estheticians,estheticians
,,food,Ethical Grocery,ethicgrocery
,DE,,Ethical Grocery,ethicgrocery
,MY,,Ethical Grocery,ethicgrocery
,CH,,Ethical Grocery,ethicgrocery
,US,,Ethical Grocery,ethicgrocery
,BE,,Ethical Grocery,ethicgrocery
,JP,,Ethical Grocery,ethicgrocery
,NL,,Ethical Grocery,ethicgrocery
,FR,,Ethical Grocery,ethicgrocery
,TR,,Ethical Grocery,ethicgrocery
,CZ,,Ethical Grocery,ethicgrocery
,AT,,Ethical Grocery,ethicgrocery
,PH,,Ethical Grocery,ethicgrocery
,,restaurants,Ethiopian,ethiopian
,SG,,Ethiopian,ethiopian
,CZ,,Ethiopian,ethiopian
,MX,,Ethiopian,ethiopian
,TR,,Ethiopian,ethiopian
,,auto,EV Charging Stations,evchargingstations
,,photographers,Event Photography,eventphotography
,,eventservices,Party & Event Planning,eventplanning
,,,Event Planning & Services,eventservices
,,homeservices,Excavation Services,excavationservices
,,active,Experiences,experiences
DE,,,Experiences,experiences
NO,,,Experiences,experiences
SE,,,Experiences,experiences
DK,,,Experiences,experiences
CZ,,,Experiences,experiences
PT,,,Experiences,experiences
,,beautysvc,Eyebrow Services,eyebrowservices
,,beautysvc,Eyelash Service,eyelashservice
,IT,,Eyelash Service,eyelashservice
,,artsandcrafts,Fabric Stores,fabricstores
,,eventservices,Face Painting,facepainting
,PL,,Face Painting,facepainting
,HK,,Face Painting,facepainting
,IT,,Face Painting,facepainting
,FI,,Face Painting,facepainting
,SG,,Face Painting,facepainting
,AR,,Face Painting,facepainting
,MY,,Face Painting,facepainting
,TW,,Face Painting,facepainting
,JP,,Face Painting,facepainting
,ES,,Face Painting,facepainting
,CL,,Face Painting,facepainting
,FR,,Face Painting,facepainting
,TR,,Face Painting,facepainting
,SE,,Face Painting,facepainting
,PH,,Face Painting,facepainting
,MX,,Face Painting,facepainting
,,portuguese,Fado Houses,fado_houses
PT,,,Fado Houses,fado_houses
,,mediterranean,Falafel,falafel
,AR,,Falafel,falafel
,PT,,Falafel,falafel
,MX,,Falafel,falafel
,,physicians,Family Practice,familydr
,BR,,Family Practice,familydr
,,localservices,Farm Equipment Repair,farmequipmentrepair
,,food,Farmers Market,farmersmarket
,,shopping,Farming Equipment,farmingequipment
,,arts,Farms,farms
,,petservices,Farriers,farriers
,,shopping,Fashion,fashion
,,nightlife,Fasil Music,fasil
TR,,,Fasil Music,fasil
,,homeservices,Fences & Gates,fencesgates
,,active,Fencing Clubs,fencing
,,professional,Feng Shui,fengshui
,,transport,Ferries,ferries
,,physicians,Fertility,fertility
,,arts,Festivals,festivals
,,restaurants,Filipino,filipino
,FI,,Filipino,filipino
,DK,,Filipino,filipino
,CZ,,Filipino,filipino
,TR,,Filipino,filipino
,,financialservices,Financial Advising,financialadvising
,,,Financial Services,financialservices
,,localservices,Fingerprinting,fingerprinting
US,,,Fingerprinting,fingerprinting
,,specialtyschools,Firearm Training,firearmtraining
US,,,Firearm Training,firearmtraining
,,publicservicesgovt,Fire Departments,firedepartments
,NZ,,Fire Departments,firedepartments
,CA,,Fire Departments,firedepartments
,IE,,Fire Departments,firedepartments
,SG,,Fire Departments,firedepartments
,GB,,Fire Departments,firedepartments
,,homeservices,Fireplace Services,fireplace
,,homeservices,Fire Protection Services,fireprotection
,,homeservices,Firewood,firewood
,MY,,Firewood,firewood
,TW,,Firewood,firewood
,BE,,Firewood,firewood
,JP,,Firewood,firewood
,NL,,Firewood,firewood
,HK,,Firewood,firewood
,TR,,Firewood,firewood
,CZ,,Firewood,firewood
,PH,,Firewood,firewood
,,shopping,Fireworks,fireworks
AR,,,Fireworks,fireworks
AU,,,Fireworks,fireworks
CA,,,Fireworks,fireworks
US,,,Fireworks,fireworks
CL,,,Fireworks,fireworks
PT,,,Fireworks,fireworks
CZ,,,Fireworks,fireworks
NZ,,,Fireworks,fireworks
GB,,,Fireworks,fireworks
MX,,,Fireworks,fireworks
,,specialtyschools,First Aid Classes,firstaidclasses
,SG,,First Aid Classes,firstaidclasses
,BR,,First Aid Classes,firstaidclasses
,NZ,,First Aid Classes,firstaidclasses
,BE,,First Aid Classes,firstaidclasses
,NL,,First Aid Classes,firstaidclasses
,IE,,First Aid Classes,firstaidclasses
,FR,,First Aid Classes,firstaidclasses
,,restaurants,Fischbroetchen,fischbroetchen
DE,,,Fischbroetchen,fischbroetchen
,,active,Fishing,fishing
,,food,Fishmonger,fishmonger
DE,,,Fishmonger,fishmonger
PL,,,Fishmonger,fishmonger
AU,,,Fishmonger,fishmonger
DK,,,Fishmonger,fishmonger
CH,,,Fishmonger,fishmonger
BE,,,Fishmonger,fishmonger
NL,,,Fishmonger,fishmonger
PT,,,Fishmonger,fishmonger
IT,,,Fishmonger,fishmonger
FI,,,Fishmonger,fishmonger
NO,,,Fishmonger,fishmonger
SE,,,Fishmonger,fishmonger
CZ,,,Fishmonger,fishmonger
AT,,,Fishmonger,fishmonger
,,restaurants,Fish & Chips,fishnchips
,PT,,Fish & Chips,fishnchips
,BR,,Fish & Chips,fishnchips
,,active,Fitness & Instruction,fitness
,,shopping,Fitness/Exercise Equipment,fitnessequipment
,,restaurants,Flatbread,flatbread
DE,,,Flatbread,flatbread
PL,,,Flatbread,flatbread
CH,,,Flatbread,flatbread
DK,,,Flatbread,flatbread
AT,,,Flatbread,flatbread
,,shopping,Flea Markets,fleamarkets
,,belgian,Flemish,flemish
FR,,,Flemish,flemish
,,specialtyschools,Flight Instruction,flightinstruction
,,health,Float Spa,floatspa
,JP,,Float Spa,floatspa
,FR,,Float Spa,floatspa
,IT,,Float Spa,floatspa
,,homeservices,Flooring,flooring
,,eventservices,Floral Designers,floraldesigners
,FR,,Floral Designers,floraldesigners
,,flowers,Florists,florists
,,shopping,Flowers & Gifts,flowers
,,active,Flyboarding,flyboarding
,,restaurants,Fondue,fondue
,ES,,Fondue,fondue
,DK,,Fondue,fondue
,CZ,,Fondue,fondue
,,,Food,food
,,restaurants,Food Court,food_court
,FI,,Food Court,food_court
,TW,,Food Court,food_court
,FR,,Food Court,food_court
,TR,,Food Court,food_court
,,nonprofit,Food Banks,foodbanks
,,food,Food Delivery Services,fooddeliveryservices
,,specialtyschools,Food Safety Training,foodsafety
PT,,,Food Safety Training,foodsafety
BR,,,Food Safety Training,foodsafety
SG,,,Food Safety Training,foodsafety
US,,,Food Safety Training,foodsafety
,,restaurants,Food Stands,foodstands
,,tours,Food Tours,foodtours
,,food,Food Trucks,foodtrucks
,SG,,Food Trucks,foodtrucks
,,active,Soccer,football
,,beautysvc,Foot Care,footcare
DE,,,Foot Care,footcare
MY,,,Foot Care,footcare
CH,,,Foot Care,footcare
AU,,,Foot Care,footcare
CA,,,Foot Care,footcare
BE,,,Foot Care,footcare
JP,,,Foot Care,footcare
NL,,,Foot Care,footcare
IE,,,Foot Care,footcare
IT,,,Foot Care,footcare
SG,,,Foot Care,footcare
AT,,,Foot Care,footcare
NZ,,,Foot Care,footcare
PH,,,Foot Care,footcare
GB,,,Foot Care,footcare
,,localservices,Forestry,forestry
FI,,,Forestry,forestry
NO,,,Forestry,forestry
SE,,,Forestry,forestry
DK,,,Forestry,forestry
CZ,,,Forestry,forestry
CA,,,Forestry,forestry
,,fashion,Formal Wear,formalwear
,MY,,Formal Wear,formalwear
,TW,,Formal Wear,formalwear
,CH,,Formal Wear,formalwear
,JP,,Formal Wear,formalwear
,HK,,Formal Wear,formalwear
,IT,,Formal Wear,formalwear
,TR,,Formal Wear,formalwear
,FI,,Formal Wear,formalwear
,SE,,Formal Wear,formalwear
,PH,,Formal Wear,formalwear
,,homeservices,Foundation Repair,foundationrepair
,CH,,Foundation Repair,foundationrepair
,AT,,Foundation Repair,foundationrepair
,DE,,Foundation Repair,foundationrepair
,,artsandcrafts,Framing,framing
,,german,Franconian,franconian
DE,,,Franconian,franconian
,,diving,Free Diving,freediving
,,restaurants,Freiduria,freiduria
ES,,,Freiduria,freiduria
AR,,,Freiduria,freiduria
MX,,,Freiduria,freiduria
CL,,,Freiduria,freiduria
,,restaurants,French,french
,,food,Friterie,friterie
PL,,,Friterie,friterie
AU,,,Friterie,friterie
BE,,,Friterie,friterie
NL,,,Friterie,friterie
FR,,,Friterie,friterie
IT,,,Friterie,friterie
,,italian,Friulan,friulan
IT,,,Friulan,friulan
,,gourmet,Frozen Food,frozenfood
SG,,,Frozen Food,frozenfood
BE,,,Frozen Food,frozenfood
ES,,,Frozen Food,frozenfood
FR,,,Frozen Food,frozenfood
GB,,,Frozen Food,frozenfood
IT,,,Frozen Food,frozenfood
,,auto,Fuel Docks,fueldocks
NO,,,Fuel Docks,fueldocks
SE,,,Fuel Docks,fueldocks
DK,,,Fuel Docks,fueldocks
US,,,Fuel Docks,fueldocks
ES,,,Fuel Docks,fueldocks
MX,,,Fuel Docks,fueldocks
,,localservices,Funeral Services & Cemeteries,funeralservices
,,festivals,Fun Fair,funfair
DE,,,Fun Fair,funfair
CH,,,Fun Fair,funfair
DK,,,Fun Fair,funfair
BE,,,Fun Fair,funfair
NL,,,Fun Fair,funfair
PT,,,Fun Fair,funfair
NO,,,Fun Fair,funfair
CZ,,,Fun Fair,funfair
AT,,,Fun Fair,funfair
,,fashion,Fur Clothing,furclothing
,,homeandgarden,Furniture Stores,furniture
,,homeservices,Furniture Assembly,furnitureassembly
,CZ,,Furniture Assembly,furnitureassembly
,,localservices,Furniture Repair,furniturerepair
,,chinese,Fuzhou,fuzhou
TW,,,Fuzhou,fuzhou
MY,,,Fuzhou,fuzhou
SG,,,Fuzhou,fuzhou
HK,,,Fuzhou,fuzhou
,,restaurants,Galician,galician
ES,,,Galician,galician
PT,,,Galician,galician
,,arts,Art Galleries,galleries
,,shopping,Art Galleries,galleries
,,restaurants,Game Meat,gamemeat
,AR,,Game Meat,gamemeat
,MY,,Game Meat,gamemeat
,TW,,Game Meat,gamemeat
,CA,,Game Meat,gamemeat
,JP,,Game Meat,gamemeat
,CL,,Game Meat,gamemeat
,PT,,Game Meat,gamemeat
,HK,,Game Meat,gamemeat
,TR,,Game Meat,gamemeat
,FI,,Game Meat,gamemeat
,BR,,Game Meat,gamemeat
,PH,,Game Meat,gamemeat
,MX,,Game Meat,gamemeat
,,eventservices,Game Truck Rental,gametruckrental
CA,,,Game Truck Rental,gametruckrental
AR,,,Game Truck Rental,gametruckrental
US,,,Game Truck Rental,gametruckrental
CL,,,Game Truck Rental,gametruckrental
MX,,,Game Truck Rental,gametruckrental
,,homeservices,Garage Door Services,garage_door_services
,DE,,Garage Door Services,garage_door_services
,AR,,Garage Door Services,garage_door_services
,MY,,Garage Door Services,garage_door_services
,PL,,Garage Door Services,garage_door_services
,CH,,Garage Door Services,garage_door_services
,TW,,Garage Door Services,garage_door_services
,JP,,Garage Door Services,garage_door_services
,CL,,Garage Door Services,garage_door_services
,HK,,Garage Door Services,garage_door_services
,SE,,Garage Door Services,garage_door_services
,AT,,Garage Door Services,garage_door_services
,PH,,Garage Door Services,garage_door_services
,,homeservices,Gardeners,gardeners
,,homeandgarden,Nurseries & Gardening,gardening
,,arts,Botanical Gardens,gardens
,,physicians,Gastroenterologist,gastroenterologist
,,restaurants,Gastropubs,gastropubs
,,bars,Gay Bars,gaybars
,,food,Gelato,gelato
PL,,,Gelato,gelato
AU,,,Gelato,gelato
DK,,,Gelato,gelato
US,,,Gelato,gelato
PT,,,Gelato,gelato
IT,,,Gelato,gelato
NO,,,Gelato,gelato
SG,,,Gelato,gelato
SE,,,Gelato,gelato
CZ,,,Gelato,gelato
PH,,,Gelato,gelato
,,shopping,Gemstones & Minerals,gemstonesandminerals
,,lawyers,General Litigation,general_litigation
,,dentists,General Dentistry,generaldentistry
,,festivals,General Festivals,generalfestivals
DE,,,General Festivals,generalfestivals
CH,,,General Festivals,generalfestivals
AT,,,General Festivals,generalfestivals
JP,,,General Festivals,generalfestivals
PT,,,General Festivals,generalfestivals
,,localservices,Generator Installation/Repair,generatorinstallrepair
