country_whitelist,country_blacklist,parents,title,alias
MY,,,Art Installation,artinstallation
PL,,,Art Installation,artinstallation
CH,,,Art Installation,artinstallation
AT,,,Art Installation,artinstallation
US,,,Art Installation,artinstallation
PH,,,Art Installation,artinstallation
,,museums,Art Museums,artmuseums
,FR,,Art Museums,artmuseums
,,localservices,Art Restoration,artrestoration
,,,Arts & Entertainment,arts
,,shopping,Arts & Crafts,artsandcrafts
,,specialtyschools,Art Schools,artschools
,,realestate,Art Space Rentals,artspacerentals
US,,,Art Space Rentals,artspacerentals
JP,,,Art Space Rentals,artspacerentals
IE,,,Art Space Rentals,artspacerentals
HK,,,Art Space Rentals,artspacerentals
IT,,,Art Space Rentals,artspacerentals
SE,,,Art Space Rentals,artspacerentals
SG,,,Art Space Rentals,artspacerentals
GB,,,Art Space Rentals,artspacerentals
,,artsandcrafts,Art Supplies,artsupplies
,,tours,Art Tours,arttours
,,restaurants,Asian Fusion,asianfusion
,,health,Assisted Living Facilities,assistedliving
,,psychic_astrology,Astrologers,astrologers
,,restaurants,Asturian,asturian
ES,,,Asturian,asturian
,,artsandcrafts,Ateliers,ateliers
DE,,,Ateliers,ateliers
DK,,,Ateliers,ateliers
CH,,,Ateliers,ateliers
BE,,,Ateliers,ateliers
JP,,,Ateliers,ateliers
NL,,,Ateliers,ateliers
IT,,,Ateliers,ateliers
TR,,,Ateliers,ateliers
NO,,,Ateliers,ateliers
AT,,,Ateliers,ateliers
,,farms,Attraction Farms,attractionfarms
DE,,,Attraction Farms,attractionfarms
CH,,,Attraction Farms,attractionfarms
DK,,,Attraction Farms,attractionfarms
US,,,Attraction Farms,attractionfarms
ES,,,Attraction Farms,attractionfarms
PT,,,Attraction Farms,attractionfarms
IT,,,Attraction Farms,attractionfarms
NO,,,Attraction Farms,attractionfarms
BR,,,Attraction Farms,attractionfarms
SE,,,Attraction Farms,attractionfarms
AT,,,Attraction Farms,attractionfarms
,,active,ATV Rentals/Tours,atvrentals
DE,,,ATV Rentals/Tours,atvrentals
AR,,,ATV Rentals/Tours,atvrentals
PL,,,ATV Rentals/Tours,atvrentals
CH,,,ATV Rentals/Tours,atvrentals
US,,,ATV Rentals/Tours,atvrentals
BE,,,ATV Rentals/Tours,atvrentals
NL,,,ATV Rentals/Tours,atvrentals
CL,,,ATV Rentals/Tours,atvrentals
ES,,,ATV Rentals/Tours,atvrentals
FI,,,ATV Rentals/Tours,atvrentals
NO,,,ATV Rentals/Tours,atvrentals
SE,,,ATV Rentals/Tours,atvrentals
AT,,,ATV Rentals/Tours,atvrentals
MX,,,ATV Rentals/Tours,atvrentals
,,shopping,Auction Houses,auctionhouses
,MY,,Auction Houses,auctionhouses
,AR,,Auction Houses,auctionhouses
,TW,,Auction Houses,auctionhouses
,JP,,Auction Houses,auctionhouses
,CL,,Auction Houses,auctionhouses
,HK,,Auction Houses,auctionhouses
,TR,,Auction Houses,auctionhouses
,PH,,Auction Houses,auctionhouses
,,physicians,Audiologist,audiologist
,CH,,Audiologist,audiologist
,CZ,,Audiologist,audiologist
,AT,,Audiologist,audiologist
,DE,,Audiologist,audiologist
,,partyequipmentrentals,Audio/Visual Equipment Rental,audiovisualequipmentrental
DE,,,Audio/Visual Equipment Rental,audiovisualequipmentrental
PL,,,Audio/Visual Equipment Rental,audiovisualequipmentrental
DK,,,Audio/Visual Equipment Rental,audiovisualequipmentrental
CH,,,Audio/Visual Equipment Rental,audiovisualequipmentrental
CA,,,Audio/Visual Equipment Rental,audiovisualequipmentrental
AU,,,Audio/Visual Equipment Rental,audiovisualequipmentrental
BE,,,Audio/Visual Equipment Rental,audiovisualequipmentrental
NO,,,Audio/Visual Equipment Rental,audiovisualequipmentrental
BR,,,Audio/Visual Equipment Rental,audiovisualequipmentrental
SG,,,Audio/Visual Equipment Rental,audiovisualequipmentrental
MY,,,Audio/Visual Equipment Rental,audiovisualequipmentrental
US,,,Audio/Visual Equipment Rental,audiovisualequipmentrental
ES,,,Audio/Visual Equipment Rental,audiovisualequipmentrental
NL,,,Audio/Visual Equipment Rental,audiovisualequipmentrental
FR,,,Audio/Visual Equipment Rental,audiovisualequipmentrental
IE,,,Audio/Visual Equipment Rental,audiovisualequipmentrental
SE,,,Audio/Visual Equipment Rental,audiovisualequipmentrental
AT,,,Audio/Visual Equipment Rental,audiovisualequipmentrental
PH,,,Audio/Visual Equipment Rental,audiovisualequipmentrental
GB,,,Audio/Visual Equipment Rental,audiovisualequipmentrental
,,restaurants,Australian,australian
,,restaurants,Austrian,austrian
,ES,,Austrian,austrian
,DK,,Austrian,austrian
,,publicservicesgovt,Authorized Postal Representative,authorized_postal_representative
NO,,,Authorized Postal Representative,authorized_postal_representative
SE,,,Authorized Postal Representative,authorized_postal_representative
,,,Automotive,auto
,,auto,Auto Detailing,auto_detailing
,ES,,Auto Detailing,auto_detailing
,BR,,Auto Detailing,auto_detailing
,AU,,Auto Detailing,auto_detailing
,,auto,Auto Customization,autocustomization
DE,,,Auto Customization,autocustomization
AR,,,Auto Customization,autocustomization
PL,,,Auto Customization,autocustomization
CH,,,Auto Customization,autocustomization
US,,,Auto Customization,autocustomization
CA,,,Auto Customization,autocustomization
ES,,,Auto Customization,autocustomization
CL,,,Auto Customization,autocustomization
PT,,,Auto Customization,autocustomization
CZ,,,Auto Customization,autocustomization
AT,,,Auto Customization,autocustomization
SG,,,Auto Customization,autocustomization
MX,,,Auto Customization,autocustomization
,,auto,Car Inspectors,autodamageassessment
DE,,,Car Inspectors,autodamageassessment
DK,,,Car Inspectors,autodamageassessment
US,,,Car Inspectors,autodamageassessment
BE,,,Car Inspectors,autodamageassessment
NL,,,Car Inspectors,autodamageassessment
PT,,,Car Inspectors,autodamageassessment
NO,,,Car Inspectors,autodamageassessment
BR,,,Car Inspectors,autodamageassessment
SE,,,Car Inspectors,autodamageassessment
,,auto,Auto Electric Services,autoelectric
AR,,,Auto Electric Services,autoelectric
ES,,,Auto Electric Services,autoelectric
CL,,,Auto Electric Services,autoelectric
PT,,,Auto Electric Services,autoelectric
IT,,,Auto Electric Services,autoelectric
BR,,,Auto Electric Services,autoelectric
CZ,,,Auto Electric Services,autoelectric
MX,,,Auto Electric Services,autoelectric
,,auto,Auto Glass Services,autoglass
,ES,,Auto Glass Services,autoglass
,,insurance,Auto Insurance,autoinsurance
,DE,,Auto Insurance,autoinsurance
,MY,,Auto Insurance,autoinsurance
,TW,,Auto Insurance,autoinsurance
,CH,,Auto Insurance,autoinsurance
,CA,,Auto Insurance,autoinsurance
,IE,,Auto Insurance,autoinsurance
,FR,,Auto Insurance,autoinsurance
,HK,,Auto Insurance,autoinsurance
,FI,,Auto Insurance,autoinsurance
,SG,,Auto Insurance,autoinsurance
,AT,,Auto Insurance,autoinsurance
,NZ,,Auto Insurance,autoinsurance
,PH,,Auto Insurance,autoinsurance
,GB,,Auto Insurance,autoinsurance
,,auto,Auto Loan Providers,autoloanproviders
PL,,,Auto Loan Providers,autoloanproviders
AU,,,Auto Loan Providers,autoloanproviders
CA,,,Auto Loan Providers,autoloanproviders
BE,,,Auto Loan Providers,autoloanproviders
IT,,,Auto Loan Providers,autoloanproviders
CZ,,,Auto Loan Providers,autoloanproviders
NZ,,,Auto Loan Providers,autoloanproviders
SG,,,Auto Loan Providers,autoloanproviders
MY,,,Auto Loan Providers,autoloanproviders
US,,,Auto Loan Providers,autoloanproviders
PT,,,Auto Loan Providers,autoloanproviders
NL,,,Auto Loan Providers,autoloanproviders
IE,,,Auto Loan Providers,autoloanproviders
TR,,,Auto Loan Providers,autoloanproviders
PH,,,Auto Loan Providers,autoloanproviders
GB,,,Auto Loan Providers,autoloanproviders
,,auto,Auto Parts & Supplies,autopartssupplies
,,auto,Auto Repair,autorepair
,,auto,Auto Security,autosecurity
,FR,,Auto Security,autosecurity
,,auto,Auto Upholstery,autoupholstery
,,french,Auvergnat,auvergnat
FR,,,Auvergnat,auvergnat
,,auto,Aviation Services,aviationservices
,,localservices,Awnings,awnings
,,active,Axe Throwing,axethrowing
GB,,,Axe Throwing,axethrowing
US,,,Axe Throwing,axethrowing
CA,,,Axe Throwing,axethrowing
,,health,Ayurveda,ayurveda
,,portuguese,Azores,azores
PT,,,Azores,azores
,,shopping,Baby Gear & Furniture,baby_gear
